Url,Med_Preis,Modelname,GTIN,Farbe,Rückkamera_MP,Front_Kamera_MP,Displaygrösse_Inches,Speicherkapazität_GB,Gesichtserkennung,Modelljahr,Marke,Gesamtkundenbewertung,Anzahl_Kundenbewertung,Displaygrösse_CM,Med_Preis_Exkl_Mwst
https://www.mediamarkt.ch/de/product/_apple-iphone-14-pro-2151059.html,1100.0,iPhone 14 Pro,MQ0T3ZD/A,Space Black,48,12,6.1,256,1,2022,apple,4.0,16,15.5,1015.0
https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091423.html,719.0,iPhone 13,MLPF3ZD/A,Midnight,12,12,6.1,128,1,2021,apple,4.0,56,15.5,664.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-pro-max-2151071.html,1125.0,iPhone 14 Pro Max,MQ9P3ZD/A,Space Black,48,12,6.7,128,1,2022,apple,4.0,8,17.0,1038.0
https://www.mediamarkt.ch/de/product/_apple-iphone-11-2020-2028715.html,429.0,iPhone 11 (2020),MHDA3ZD/A,Black,12,12,6.1,64,1,2020,apple,4.0,62,15.5,396.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151025.html,768.0,iPhone 14,MPUF3ZD/A,Midnight,12,12,6.1,128,1,2022,apple,4.0,9,15.5,709.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-pro-2151062.html,1132.0,iPhone 14 Pro,MQ1F3ZD/A,Deep Purple,48,12,6.1,256,1,2022,apple,4.0,16,15.5,1045.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s22-5g-2109376.html,646.0,Galaxy S22 5G,SM-S901BZKGEUE,Phantom Black,50,10,6.1,256,1,2022,samsung,3.0,55,15.5,596.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-pro-max-2151075.html,1269.0,iPhone 14 Pro Max,MQ9U3ZD/A,Space Black,48,12,6.7,256,1,2022,apple,4.0,9,17.0,1171.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-a14-4g-2173970.html,189.0,Galaxy A14 4G,SM-A145RZKVEUE,Schwarz,50,13,6.6,128,0,0,samsung,0.0,0,16.8,174.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-a53-5g-2119141.html,371.7,Galaxy A53 5G,SM-A536BZONEUE,Awesome Peach,64,32,6.5,128,0,0,samsung,0.0,0,16.5,343.0
https://www.mediamarkt.ch/de/product/_xiaomi-redmi-9a-2012628.html,99.95,Redmi 9A,MZB9959EU/MZB0AKOEU,Granite Grey,13,5,6.53,32,1,0,xiaomi,0.0,0,16.6,92.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-a14-4g-2173971.html,189.0,Galaxy A14 4G,SM-A145RZSVEUE,Silber,50,13,6.6,128,0,0,samsung,0.0,0,16.8,174.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-pro-2151058.html,1029.0,iPhone 14 Pro,MQ0G3ZD/A,Deep Purple,48,12,6.1,128,1,2022,apple,4.0,16,15.5,950.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-a33-5g-2119137.html,302.7,Galaxy A33 5G,SM-A336BZKGEUE,Awesome Black,48,13,6.4,128,0,0,samsung,0.0,0,16.3,279.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151030.html,959.0,iPhone 14,MPVX3ZD/A,Midnight,12,12,6.1,256,1,2022,apple,5.0,5,15.5,885.0
https://www.mediamarkt.ch/de/product/_apple-iphone-13-mini-2118880.html,599.0,iPhone 13 mini,MNFF3ZD/A,Green,12,12,5.4,128,1,2021,apple,5.0,2,13.7,553.0
