Marke,Modell,Farbe,Speicher,Display_Inches,Display_CM,Mobilfunk,Rueckkamera,Frontkamera,Modelljahr,Gesichtserkennung,Produkt,Kategorie_Farbe,Med_Preis,Gal_Preis,Med_Gesamtkundenbewertung,Med_Anzahl_Kundenbewertung,Gal_Markenanteil,Gal_Mobilfunkanteil,Preisdifferenz
Apple,iPhone 14 Pro,SpaceBlack,256.0,6.1,15.5,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro,schwarz,1100.0,1129.0,4.0,16.0,16.29,59.04,29.0
Apple,iPhone 13,Midnight,128.0,6.1,15.5,5G, 12 ,12.0,2021,1.0,Apple iPhone 13,rest,719.0,726.0,4.0,56.0,16.29,59.04,7.0
Apple,iPhone 14 Pro Max,SpaceBlack,128.0,6.7,17.0,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro Max,schwarz,1125.0,1100.0,4.0,8.0,16.29,59.04,-25.0
Apple,iPhone 14,Midnight,128.0,6.1,15.5,5G, 12 ,12.0,2022,1.0,Apple iPhone 14,rest,768.0,769.0,4.0,9.0,16.29,59.04,1.0
Apple,iPhone 14 Pro,DeepPurple,256.0,6.1,15.5,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro,rest,1132.0,1125.0,4.0,16.0,16.29,59.04,-7.0
Apple,iPhone 14 Pro Max,SpaceBlack,256.0,6.7,17.0,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro Max,schwarz,1269.0,1259.0,4.0,9.0,16.29,59.04,-10.0
Samsung,Galaxy A53 5G,AwesomePeach,128.0,6.5,16.5,5G, 64 ,32.0,0,0.0,Samsung Galaxy A53 5G,rest,371.7,389.55,0.0,0.0,17.6,59.04,17.850000000000023
Xiaomi,Redmi 9A,GraniteGrey,32.0,6.53,16.6,4G, 13 ,5.0,0,1.0,Xiaomi Redmi 9A,rest,99.95,89.0,0.0,0.0,18.3,39.02,-10.950000000000003
Apple,iPhone 14 Pro,DeepPurple,128.0,6.1,15.5,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro,rest,1029.0,1029.0,4.0,16.0,16.29,59.04,0.0
Samsung,Galaxy A33 5G,AwesomeBlack,128.0,6.4,16.3,5G, 48 ,13.0,0,0.0,Samsung Galaxy A33 5G,schwarz,302.7,289.8,0.0,0.0,17.6,59.04,-12.899999999999977
Apple,iPhone 14,Midnight,256.0,6.1,15.5,5G, 12 ,12.0,2022,1.0,Apple iPhone 14,rest,959.0,961.0,5.0,5.0,16.29,59.04,2.0
Apple,iPhone 13 mini,Green,128.0,5.4,13.7,5G, 12 ,12.0,2021,1.0,Apple iPhone 13 mini,rest,599.0,599.0,5.0,2.0,16.29,59.04,0.0
Apple,iPhone 14 Pro,SpaceBlack,128.0,6.1,15.5,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro,schwarz,1059.0,1001.0,4.0,18.0,16.29,59.04,-58.0
Apple,iPhone 14,Starlight,128.0,6.1,15.5,5G, 12 ,12.0,2022,1.0,Apple iPhone 14,rest,768.0,768.0,5.0,9.0,16.29,59.04,0.0
Apple,iPhone 14 Pro Max,Gold,128.0,6.7,17.0,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro Max,rest,1145.0,1145.0,4.0,3.0,16.29,59.04,0.0
Apple,iPhone 13,Blue,128.0,6.1,15.5,5G, 12 ,12.0,2021,1.0,Apple iPhone 13,rest,719.0,726.0,4.0,16.0,16.29,59.04,7.0
Apple,iPhone 14 Pro Max,DeepPurple,256.0,6.7,17.0,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro Max,rest,1251.0,1279.0,3.0,8.0,16.29,59.04,28.0
Apple,iPhone 13 mini,Midnight,128.0,5.4,13.7,5G, 12 ,12.0,2021,1.0,Apple iPhone 13 mini,rest,649.0,607.0,4.0,20.0,16.29,59.04,-42.0
Apple,iPhone 14,Purple,128.0,6.1,15.5,5G, 12 ,12.0,2022,1.0,Apple iPhone 14,rest,778.0,768.0,4.0,7.0,16.29,59.04,-10.0
Apple,iPhone 13,Starlight,128.0,6.1,15.5,5G, 12 ,12.0,2021,1.0,Apple iPhone 13,rest,719.0,719.0,4.0,24.0,16.29,59.04,0.0
Xiaomi,Redmi Note 11,GraphiteGrey,128.0,6.43,16.3,4G, 50 ,13.0,2022,1.0,Xiaomi Redmi Note 11,rest,219.95,169.0,4.0,32.0,18.3,39.02,-50.94999999999999
Samsung,Galaxy A53 5G,AwesomeBlue,128.0,6.5,16.5,5G, 64 ,32.0,0,0.0,Samsung Galaxy A53 5G,rest,389.7,399.0,0.0,0.0,17.6,59.04,9.300000000000011
Samsung,Galaxy A53 5G,AwesomeBlue,128.0,6.5,16.5,5G, 64 ,32.0,0,0.0,Samsung Galaxy A53 5G,rest,389.7,368.0,0.0,0.0,17.6,59.04,-21.69999999999999
Samsung,Galaxy S21 FE 5G,Graphite,128.0,6.4,16.3,5G, 12 ,32.0,2022,1.0,Samsung Galaxy S21 FE 5G,rest,499.95,479.0,4.0,20.0,17.6,59.04,-20.94999999999999
